401 -1673.08 -1438.69
402 400.723 -1612.01
403 1922.12 862.897
404 627.28 -21.4777
405 -20.5903 121.739
406 407.991 -1427.93
407 -975.395 -479.374
408 -133.17 1222.52
409 1781.16 -51.5925
410 -1160.66 627.88
411 -1490.98 890.104
412 -726.487 1034.96
413 -1342.37 -739.49
414 349.869 1982.13
415 1210.16 -1984.15
416 1814.39 -789.873
417 1356.57 75.0954
418 -1124.76 -1912.02
419 -126.559 116.398
420 -1817.34 1245.46
421 1760.47 1197.61
422 -743.784 -1759.7
423 -811.431 -782.936
424 -1929.17 -1786.67
425 -1282.86 1573.76
426 -1075.7 -385.972
427 -1718.98 -1067.22
428 1014.16 228.11
429 320.003 576.049
430 -1660.02 246.327
431 -1583.83 1764
432 -303.209 -1468.93
433 1428.17 -56.9627
434 -1058.23 1742.53
435 1588.29 321.503
436 -407.877 665.62
437 -1727 -164.166
438 1989.54 -1492.4
439 -896.411 -1539.87
440 1306.97 1112.92
441 -105.85 -254.485
442 303.877 -1608.5
443 -1776.01 -1286.23
444 1990.8 32.7588
445 -64.1726 1417.15
446 -1360.81 -1516.39
447 481.067 -1205.7
448 812.14 1507.41
449 -1715.5 -1008.79
450 1019.84 1507.24
451 979.347 -1162.2
452 1107.8 1168.94
453 -126.518 -1795.7
454 -212.895 -1489.05
455 773.794 -1443.22
456 -1755.5 1946.03
457 -1527.37 351.783
458 938.928 1663.97
459 1771.53 559.998
460 -815.716 -486.142
461 942.96 -398.412
462 1028.46 469.601
463 1258.67 -127.915
464 1566.64 1138.51
465 1581.94 -981.243
466 -1257.28 1757.64
467 -201.719 1833.71
468 -1632.64 1779.63
469 -1021.47 443.041
470 1576.43 1546.75
471 -1779.46 -560.484
472 242.401 1181.5
473 -1529.68 278.121
474 -210.462 -733.034
475 -1381.24 954.756
476 -1530.08 -1756.67
477 354.767 624.27
478 172.609 -159.747
479 -145.345 1985.13
480 -66.3964 849.838
481 -1083.7 494.972
482 700.021 878.244
483 1311.77 233.187
484 -1513.74 -1902.56
485 -1377.81 -339.899
486 -1342.13 -916.946
487 624.345 -1593.17
488 -1521.01 -439.77
489 1091.51 -1530.31
490 -685.702 651.361
491 -1216.51 356.677
492 1463.42 883.597
493 -878.088 -659.56
494 -1064.12 -1814.24
495 1008.1 -855.783
496 822.373 1513.57
497 -898.323 -1446.01
498 -717.919 1124.49
499 -592.408 1142.38
500 1046.16 1916.05
